Brand,Model,Total_Sales
Adidas,adidas Yeezy Boost 350 V2 Beluga 2.0,26469
Adidas,adidas Yeezy Boost 350 V2 Cream White,19671
Adidas,adidas Yeezy Boost 350 V2 Blue Tint,17916
Adidas,adidas Yeezy Boost 350 V2 Zebra,14988
Adidas,adidas Yeezy Powerphase Calabasas Core White,10439
Adidas,adidas Yeezy Boost 350 V2 Black Red,6211
Adidas,adidas Yeezy Powerphase Calabasas Grey,4909
Adidas,adidas Yeezy Boost 350 V2 Semi Frozen Yellow,3324
Adidas,adidas Yeezy Boost 350 V2 Core Black White,2939
Adidas,adidas Yeezy Boost 350 V2 Beluga,2513
Adidas,adidas Yeezy Boost 350 V2 Core Black Green,2111
Adidas,adidas Yeezy Wave Runner 700 Solid Grey,1511
Adidas,adidas Yeezy Boost 350 V2 Core Black Red,1209
Adidas,adidas Yeezy Boost 350 V2 Black Red Infant (I),1166
Adidas,adidas Yeezy Boost 350 V2 Core Black Copper,1137
Adidas,adidas Yeezy Boost 350 Pirate Black (2016),1095
Adidas,adidas Yeezy Boost 750 Light Grey Glow In The Dark,970
Adidas,adidas Yeezy Boost 750 Light Brown Gum (Chocolate),891
Adidas,adidas Yeezy Boost 350 Moonrock,859
Adidas,adidas Yeezy Boost 350 Oxford Tan,682
Adidas,adidas Yeezy Boost 350 V2 Cream White Infant (I),620
Adidas,adidas Yeezy Boost 350 Turtledove,506
Adidas,adidas Yeezy Boost 750 Triple Black,447
Adidas,adidas Yeezy 350 Cleat Turtledove,297
Adidas,adidas Yeezy Boost 350 Turtledove Infant (I),149
Adidas,adidas Yeezy Boost 350 Pirate Black Infant (I),132
Adidas,adidas Yeezy Boost 350 Pirate Black Infant (I),132
Adidas,adidas Yeezy Boost 750 OG Light Brown,132
Adidas,adidas Yeezy Boost 950 Pirate Black,23
Adidas,adidas Yeezy Boost 950 Peyote,17
Adidas,adidas Yeezy Boost 950 Chocolate,14
Adidas,adidas Yeezy Boost 950 Moonrock,14
Adidas,adidas Yeezy Boost 950 Pirate Black (W),6
Adidas,adidas Yeezy Boost 950 Moonrock (W),3
Adidas,adidas Yeezy Powerphase Calabasas Core Black,3
Air Jordan,Jordan 1 Retro Royal (2017),14171
Air Jordan,Jordan 1 Retro Mid New Love (2017),4339
Air Jordan,"Jordan 1 Retro Bred ""Banned"" (2016)",3870
Air Jordan,Jordan 1 Retro Yin Yang Black,3489
Air Jordan,"Jordan 1 Retro All Star 2017 ""Chameleon""",3428
Air Jordan,Jordan 1 Retro Top 3,3372
Air Jordan,Jordan 1 Retro Yin Yang White,3130
Air Jordan,Jordan 1 Retro Black Toe (2016),2412
Air Jordan,Jordan 1 Retro High Gold Top 3,1326
Air Jordan,Jordan 1 Retro Metallic Red (2017),1508
Air Jordan,Jordan 1 Retro High Off-White Chicago,1896
Air Jordan,Jordan 1 Retro High Wings,2418
Air Jordan,Jordan 1 Retro Reverse Shattered Backboard,1216
Air Jordan,Jordan 1 Retro Chicago (2015),1202
Air Jordan,Jordan 1 Retro High Flyknit Bred,1122
Air Jordan,Jordan 1 Retro High OG Sail,1111
Air Jordan,Jordan 1 Retro Royal 2017 (GS),1015
Air Jordan,Jordan 1 Retro UNC,989
Air Jordan,Jordan 1 Retro Red Suede,949
Air Jordan,Jordan 1 Retro Shattered Backboard,933
Air Jordan,Jordan 1 Retro Metallic Navy (2016),909
Air Jordan,Jordan 1 Retro High Gatorade Cyber,730
Air Jordan,Jordan 1 Retro Black Perforated,691
Air Jordan,Jordan 1 Retro Blue Suede,619
Air Jordan,Jordan 1 Retro High OG Black,607
Air Jordan,Jordan 1 Retro High OG Quai 54,594
Air Jordan,Jordan 1 Retro High Los Primeros,585
Air Jordan,Jordan 1 Retro High Gatorade Orange Peel,572
Air Jordan,Jordan 1 Retro Storm Blue,546
Air Jordan,Jordan 1 Retro Bronze Medal,547
Air Jordan,Jordan 1 Retro David Letterman,542
Air Jordan,Jordan 1 Retro Cyber Monday (2015),524
Air Jordan,"Jordan 1 Retro Bred 2016 ""Banned"" (GS)",520
Air Jordan,Jordan 1 Retro High RE2PECT (Derek Jeter),533
Air Jordan,Jordan 1 Retro High Gatorade Blue Lagoon,519
Nike,Air Max 97 Silver Bullet (2016/2017),5476
Nike,Air Max 97 UNDFTD Black,2589
Nike,Air Max 97 Metallic Gold (2017),2147
Nike,Air Max 90 Off-White,1718
Nike,Air Max 97 UNDFTD White,1679
Nike,Air Max 1 Anniversary Red (2017 Restock Pair),1366
Nike,Air VaporMax Pure Platinum,1420
Nike,Air VaporMax Off-White,1540
Nike,Air VaporMax Triple Black 2.0,1559
Nike,Air Max 1 Atmos Elephant (2017),1614
Nike,Air Max 97 Off-White,1312
Nike,Air Max 1 Master,1200
Nike,Air VaporMax Asphalt,1154
Nike,Air Max 97 Ultra 17 Skepta,1003
Nike,Air Max 1 Ultra Air Max Day Red (2017),895
Nike,Air VaporMax Triple Black 3.0,677
Nike,Air Max Plus Metallic Gold,595
Nike,Air VaporMax Midnight Navy,720
Nike,Air Max 1 Anniversary Royal (2017 Restock Pair),893
Nike,Air Max 1 Atmos Safari (2016),537
Nike,Air Max 1 Anniversary Obsidian,502
Nike,Air Max 97 OG Black Volt,476
Nike,Air Max 98 Gundam (2018),445
Nike,Air Max 1 Anniversary Royal (2017),390
Nike,Air VaporMax Clot Bright Crimson,381
Nike,Air VaporMax Be True (2017),380
Nike,Air VaporMax OG,347
Nike,Air Max 90 Ultra Flyknit 2.0 Infrared,342
Nike,Air Max 97 Silver Bullet 2016/2017 (W),334
Nike,Air Max 97 Country Camo (USA),322
Nike,Air Max 97 Summit White,315
Nike,Air Max 90 OG Infrared (2015),302
Nike,Air Max Plus Silver Bullet,298
Nike,Air VaporMax Explorer Dark,298
Nike,Air Max 90 Ultra 2.0 Doernbecher Oregon Ducks,296